80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	
80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	
80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	
80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	
80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	
80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	
80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	
80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	
80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	
80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	80.000000	
48.196800	58.443302	60.794552	61.091553	61.111347	61.111351	61.091553	60.794552	58.443302	48.196800	
58.443302	72.803802	75.947052	76.318298	76.340851	76.340851	76.318298	75.947052	72.803802	58.443302	
60.794552	75.947052	79.200302	79.577049	79.599602	79.599602	79.577049	79.200302	75.947052	60.794552	
61.091553	76.318298	79.577049	79.953796	79.976349	79.976349	79.953796	79.577049	76.318298	61.091553	
61.111347	76.340843	79.599602	79.976349	79.998901	79.998901	79.976349	79.599594	76.340843	61.111347	
61.111347	76.340843	79.599602	79.976349	79.998901	79.998901	79.976349	79.599594	76.340843	61.111347	
61.091553	76.318298	79.577049	79.953796	79.976349	79.976349	79.953796	79.577049	76.318298	61.091553	
60.794552	75.947052	79.200302	79.577049	79.599602	79.599602	79.577049	79.200302	75.947052	60.794552	
58.443302	72.803802	75.947052	76.318298	76.340851	76.340851	76.318298	75.947052	72.803802	58.443302	
48.196800	58.443302	60.794552	61.091553	61.111347	61.111351	61.091553	60.794552	58.443302	48.196800	
39.136539	48.064575	51.792648	52.866848	53.083302	53.083302	52.866848	51.792648	48.064571	39.136543	
48.064571	62.525032	68.483688	70.168716	70.500320	70.500320	70.168716	68.483688	62.525032	48.064571	
51.792645	68.483688	75.286316	77.182381	77.549294	77.549301	77.182381	75.286316	68.483688	51.792648	
52.866848	70.168716	77.182381	79.124794	79.498238	79.498238	79.124802	77.182381	70.168716	52.866848	
53.083302	70.500313	77.549294	79.498238	79.872398	79.872398	79.498238	77.549294	70.500313	53.083302	
53.083302	70.500313	77.549294	79.498238	79.872398	79.872398	79.498238	77.549294	70.500313	53.083302	
52.866848	70.168716	77.182381	79.124794	79.498238	79.498238	79.124802	77.182381	70.168716	52.866848	
51.792645	68.483688	75.286316	77.182381	77.549294	77.549301	77.182381	75.286316	68.483688	51.792648	
48.064571	62.525032	68.483688	70.168716	70.500320	70.500320	70.168716	68.483688	62.525032	48.064571	
39.136539	48.064575	51.792648	52.866848	53.083302	53.083302	52.866848	51.792648	48.064571	39.136543	
35.100777	42.462055	46.435028	48.053822	48.540352	48.540352	48.053818	46.435028	42.462055	35.100777	
42.462055	55.154114	61.969501	64.726608	65.548439	65.548439	64.726608	61.969501	55.154110	42.462055	
46.435028	61.969501	70.266083	73.597351	74.582001	74.582001	73.597351	70.266083	61.969501	46.435028	
48.053822	64.726601	73.597351	77.141190	78.182922	78.182922	77.141190	73.597351	64.726608	48.053822	
48.540352	65.548439	74.582001	78.182922	79.239014	79.239014	78.182930	74.582008	65.548439	48.540352	
48.540352	65.548439	74.582001	78.182922	79.239014	79.239014	78.182930	74.582008	65.548439	48.540352	
48.053822	64.726601	73.597351	77.141190	78.182922	78.182922	77.141190	73.597351	64.726608	48.053822	
46.435028	61.969501	70.266083	73.597351	74.582001	74.582001	73.597351	70.266083	61.969501	46.435028	
42.462055	55.154114	61.969501	64.726608	65.548439	65.548439	64.726608	61.969501	55.154110	42.462055	
35.100777	42.462055	46.435028	48.053822	48.540352	48.540352	48.053818	46.435028	42.462055	35.100777	
32.847229	39.015774	42.852081	44.748714	45.450710	45.450706	44.748714	42.852081	39.015774	32.847229	
39.015774	50.019753	56.847084	60.211315	61.452129	61.452129	60.211315	56.847084	50.019756	39.015774	
42.852081	56.847080	65.505341	69.754929	71.315742	71.315742	69.754929	65.505341	56.847084	42.852081	
44.748714	60.211315	69.754929	74.423927	76.132988	76.132988	74.423935	69.754929	60.211315	44.748714	
45.450706	61.452129	71.315742	76.132988	77.893188	77.893188	76.132996	71.315742	61.452133	45.450710	
45.450706	61.452129	71.315742	76.132988	77.893188	77.893188	76.132996	71.315742	61.452133	45.450710	
44.748714	60.211315	69.754929	74.423927	76.132988	76.132988	74.423935	69.754929	60.211315	44.748714	
42.852081	56.847080	65.505341	69.754929	71.315742	71.315742	69.754929	65.505341	56.847084	42.852081	
39.015774	50.019753	56.847084	60.211315	61.452129	61.452129	60.211315	56.847084	50.019756	39.015774	
32.847229	39.015774	42.852081	44.748714	45.450710	45.450706	44.748714	42.852081	39.015774	32.847229	
31.412729	36.692745	40.279194	42.276913	43.111076	43.111076	42.276909	40.279194	36.692745	31.412729	
36.692745	46.313900	52.840904	56.470409	57.983398	57.983398	56.470409	52.840904	46.313900	36.692745	
40.279194	52.840904	61.349136	66.070084	68.033821	68.033821	66.070084	61.349133	52.840904	40.279194	
42.276909	56.470406	66.070084	71.386337	73.593452	73.593452	71.386337	66.070084	56.470409	42.276913	
